id,filename,package,size,num_sinks
7595,apt,apt,18520,2
7597,apt-cache,apt,84128,5
7607,apt-cdrom,apt,26784,34
7614,apt-config,apt,26712,152
7621,apt-get,apt,47264,5
7634,apt-mark,apt,55456,3
7658,apt-helper,apt,39232,76
7682,cdrom,apt,59552,21
7692,copy,apt,47264,0
7697,file,apt,47264,1
7703,ftp,apt,125176,168
7712,gpgv,apt,92320,175
7720,http,apt,174248,288
7731,mirror,apt,100512,81
7739,rred,apt,71840,3
7747,rsh,apt,55472,45
7753,store,apt,51360,86
7772,dump,apt,22616,45
7841,libapt-private.so.0.0.0,apt,432216,1150
2213476,libstdc++.so.6.0.25,libstdc++6,1570256,2113
5957343,libc-2.28.so,libc6,1824496,2442
5957489,librt-2.28.so,libc6,35808,2
10472,apt-extracttemplates,apt-utils,22688,59
10478,apt-ftparchive,apt-utils,243872,1218
10488,apt-sortpkgs,apt-utils,47192,11
10514,apt,apt-utils,22688,35
10525,apt,apt-utils,26784,78
4373426,ldconfig,libc-bin,909096,36
115520,eqn,groff-base,206016,2
115541,groff,groff-base,120032,0
115562,grops,groff-base,181888,0
115576,grotty,groff-base,132352,0
115608,pic,groff-base,213024,5
115625,preconv,groff-base,67784,0
115632,soelim,groff-base,43208,0
115639,tbl,groff-base,141512,9
115650,troff,groff-base,740960,47
422993,telnet.netkit,telnet,116088,0
474671,apt_inst.cpython-37m-x86_64-linux-gnu.so,python3-apt,55672,43
474679,apt_pkg.cpython-37m-x86_64-linux-gnu.so,python3-apt,355136,165
3944068,apparmor_parser,apparmor,1394640,1309
646510,libuchardet.so.0.0.6,libuchardet0,141320,47
51094,context-filter.so,libaspell15,22440,0
51362,texinfo-filter.so,libaspell15,26536,0
51397,libaspell.so.15.2.0,libaspell15,714880,0
49017,aspell,aspell,153944,0
3482713,librsvg-2.so.2.44.10,librsvg2-2,5663096,122
428184,i915_dri.so,libgl1-mesa-dri,10033648,34
429082,kms_swrast_dri.so,libgl1-mesa-dri,12381592,137
652095,libxapian.so.30.8.0,libxapian30,2273056,2985
553344,libsnappy.so.1.1.7,libsnappy1v5,31104,1
170059,liblua5.2-c++.so.0.0.0,liblua5.2-0,208808,2
2476518,libitm.so.1.0.0,libitm1,117120,0
12884,libapt-pkg.so.5.0.2,libapt-pkg5.0,1920312,4472
11672,libapt-inst.so.2.0.0,libapt-inst2.0,59472,6
146397,libproxy.so.1.0.0,libproxy1v5,133488,102
171304,libcaca++.so.0.99.19,libcaca0,27312,0
97498,libjack.so.0.1.0,libjack-jackd2-0,290432,43
97518,libjacknet.so.0.1.0,libjack-jackd2-0,118496,43
97522,libjackserver.so.0.1.0,libjack-jackd2-0,630536,354
168898,libsigc-2.0.so.0.0.0,libsigc++-2.0-0v5,30576,6
2149,libgme.so.0.6.2,libgme0,309688,37
27250,libdjvulibre.so.21.6.0,libdjvulibre21,1758136,1844
60850,libcc1.so.0.0.0,libcc1-0,138784,52
1417,cgdisk,gdisk,194736,29
1434,fixparts,gdisk,71856,18
1448,gdisk,gdisk,202928,36
1457,sgdisk,gdisk,182448,32
66081,libchromaprint.so.1.4.3,libchromaprint1,84464,38
150003,libopenmpt.so.0.1.1,libopenmpt0,1681624,3404
428973,libpk_backend_aptcc.so,packagekit,401088,455
141403,libGLU.so.1.3.1,libglu1-mesa,457424,98
437675,libvdpau_nouveau.so.1.0.0,mesa-vdpau-drivers,6546696,123
658382,libzmq.so.5.2.1,libzmq5,679904,820
436690,nouveau_drv_video.so,mesa-va-drivers,6225064,124
129656,libde265.so.0.0.10,libde265-0,658672,682
182711,libvdpau_va_gl.so.1,libvdpau-va-gl1,237008,1457
152139,libgsttaglib.so,gstreamer1.0-plugins-good,52480,11
533032,librubberband.so.2.1.0,librubberband2,219144,60
170314,liblua5.3-c++.so.0.0.0,liblua5.3-0,237440,2
427596,7z,p7zip-full,593424,1687
427634,7z.so,p7zip-full,2010632,3656
427758,7zCon.sfx,p7zip-full,469320,1138
427768,7za,p7zip-full,1437280,3575
585756,libtag.so.1.17.0,libtag1v5-vanilla,981136,831
553077,libpoppler-glib.so.8.10.0,libpoppler-glib8,370600,0
427240,7zr,p7zip,962096,2518
5788787,x86_64-linux-gnu-dwp,binutils-x86-64-linux-gnu,2876160,64290
5788879,x86_64-linux-gnu-ld.gold,binutils-x86-64-linux-gnu,3113472,64320
508858,libwebrtc-util.so,pulseaudio,34824,2
603005,libvte-2.91.so.0.5400.2,libvte-2.91-0,432184,0
431510,libxatracker.so.2.4.0,libxatracker2,3538216,80
669099,libwebrtc_audio_processing.so.1.0.0,libwebrtc-audio-processing1,711152,662
401957,libnorm.so.1.5.8,libnorm1,677896,108
417434,librevenge-0.0.so.0.0.4,librevenge-0.0-0,175520,88
417453,librevenge-generators-0.0.so.0.0.4,librevenge-0.0-0,412904,189
417477,librevenge-stream-0.0.so.0.0.4,librevenge-0.0-0,121672,219
412861,javaldx,ure,18840,0
412877,libaffine_uno_uno.so,ure,18752,13
412887,libbinaryurplo.so,ure,179640,805
412892,libbootstraplo.so,ure,484104,581
412924,libgcc3_uno.so,ure,64448,44
412929,libi18nlangtag.so,ure,129904,7
412941,libintrospectionlo.so,ure,179384,138
412963,libinvocadaptlo.so,ure,47840,46
412970,libinvocationlo.so,ure,113368,90
412975,libiolo.so,ure,279304,425
412989,libjava_uno.so,ure,117632,739
412994,libjavaloaderlo.so,ure,51872,11
412999,libjavavmlo.so,ure,146784,254
413016,libjuh.so,ure,14416,0
413022,libjuhx.so,ure,64192,50
413030,libjvmaccesslo.so,ure,35248,13
413033,libjvmfwklo.so,ure,155856,89
413049,liblog_uno_uno.so,ure,18704,1
413055,libnamingservicelo.so,ure,27184,8
413062,libproxyfaclo.so,ure,35544,16
413066,libreflectionlo.so,ure,179296,79
413238,libstocserviceslo.so,ure,130472,32
413252,libunsafe_uno_uno.so,ure,14528,1
413272,libuuresolverlo.so,ure,35432,14
413280,regmerge,ure,23032,3
413287,regview,ure,14728,0
413325,uno.bin,ure,76736,44
400280,libmythes-1.2.so.0.0.0,libmythes-1.2-0,14664,1
197579,libwpd-0.10.so.10.0.3,libwpd-0.10-10,649056,267
393306,libwpg-0.3.so.3.0.3,libwpg-0.3-3,117448,56
193634,libacclo.so,libreoffice-core,1397128,1368
193731,libbasctllo.so,libreoffice-core,1974848,6022
193828,libbasprovlo.so,libreoffice-core,142872,1189
193848,libbiblo.so,libreoffice-core,590872,2499
193932,libcached1.so,libreoffice-core,322424,445
193959,libcairocanvaslo.so,libreoffice-core,685672,718
194001,libcanvasfactorylo.so,libreoffice-core,64184,141
194013,libchartcontrollerlo.so,libreoffice-core,3681784,8106
194290,libchartcorelo.so,libreoffice-core,3673880,17301
194568,libchartopengllo.so,libreoffice-core,253424,138
194598,libcmdmaillo.so,libreoffice-core,68480,16
194724,libctllo.so,libreoffice-core,232336,413
194752,libcuilo.so,libreoffice-core,7730304,23928
195595,libdbmmlo.so,libreoffice-core,360120,561
195647,libdeploymentgui.so,libreoffice-core,693608,3466
196021,libdlgprovlo.so,libreoffice-core,179680,505
196045,libembobj.so,libreoffice-core,405160,1658
196064,libemboleobj.so,libreoffice-core,261384,1631
196096,libemfiolo.so,libreoffice-core,176752,229
196106,libevtattlo.so,libreoffice-core,97120,49
