"imports","file_id"
"[12884, 2452863, 2213476]",7595
"[12884, 2452863, 2213476]",7597
"[12884, 2452863, 2213476]",7607
"[12884, 2452863, 2213476]",7614
"[12884, 2452863, 2213476]",7621
"[12884, 2452863, 2213476]",7634
"[12884, 2452863, 2213476]",7658
"[12884, 2452863, 3153320, 2213476]",7682
"[12884, 2452863, 3153320, 2213476]",7692
"[12884, 2452863, 3153320, 2213476]",7697
"[12884, 2452863, 5731178, 3153320, 2213476]",7703
"[12884, 2452863, 3153320, 2213476]",7712
"[12884, 2452863, 5731178, 3153320, 2213476]",7720
"[12884, 2452863, 3153320, 2213476]",7731
"[12884, 2452863, 3153320, 2213476]",7739
"[12884, 2452863, 3153320, 2213476]",7747
"[12884, 2452863, 3153320, 2213476]",7753
"[12884, 2452863, 2213476]",7772
"[12884, 2452863, 2213476]",7841
[2452863],2213476
[],5957343
[],5957489
"[7841, 11672, 12884, 2452863, 2213476]",10472
"[7841, 11672, 12884, 2015634, 2452863, 2213476]",10478
"[7841, 12884, 2452863, 2213476]",10488
"[7841, 12884, 2452863, 2213476]",10514
"[7841, 12884, 2452863, 2213476]",10525
"[2452863, 2213476]",115520
"[2452863, 2213476]",115541
"[2452863, 2213476]",115562
"[2452863, 2213476]",115576
"[2452863, 2213476]",115608
"[2452863, 2213476, 646510]",115625
"[2452863, 2213476]",115632
"[2452863, 2213476]",115639
"[2452863, 2213476]",115650
"[2452863, 2213476]",422993
"[11672, 12884, 2452863, 2213476]",474671
"[12884, 2452863, 2213476]",474679
[],3944068
"[2452863, 2213476]",646510
"[2452863, 2213476]",51094
"[2452863, 2213476]",51362
"[2452863, 2213476]",51397
"[51397, 2452863, 5010021, 2213476, 4422486]",49017
"[3769928, 5224143, 2018320, 2452863, 5091994, 5960195, 5960190, 5960185, 2854230, 3190308, 3128097, 3748366]",3482713
"[4927320, 4678888, 4763350, 4788874, 5007325, 2452863, 3135491, 2213476, 4982227]",428184
"[4726764, 4678888, 4763350, 4788874, 5007325, 2452863, 3135491, 552666, 4791819, 2213476, 4982227]",429082
"[2452863, 2213476, 5064717, 4982227]",652095
"[2452863, 2213476]",553344
"[2452863, 2213476]",170059
[],2476518
"[2420851, 2452863, 2438192, 2914812, 2213476, 4318441, 5042249, 5440360, 4982227]",12884
"[12884, 2452863, 2213476]",11672
"[2452863, 2213476]",146397
"[2452863, 2213476]",171304
"[2452863, 5298501, 2213476]",97498
"[2452863, 5298501, 3583475, 2213476]",97518
"[2452863, 5298501, 2213476]",97522
"[2452863, 2213476]",168898
"[2452863, 2213476, 4982227]",2149
"[2452863, 2271254, 2213476]",27250
"[2452863, 2213476]",60850
"[2452863, 5064717, 5010021, 2213476, 4422486]",1417
"[2452863, 2213476]",1434
"[5064717, 2452863, 2213476]",1448
"[5064717, 2452863, 4855611, 2213476]",1457
"[6227662, 5443465, 2452863, 2213476]",66081
"[2452863, 5154291, 2213476, 2366197, 2491006, 4982227]",150003
"[11672, 12884, 2452863, 5960185, 5960193, 5960195, 5960190, 6200313, 6200342, 2213476]",428973
"[2452863, 2372249, 2213476]",141403
"[552666, 2213476, 2146377, 2347757, 4726764, 2348472, 4678888, 5125625, 4763350, 5209084, 4788874, 5219825, 5106114, 5007325, 2452863, 4621672, 4982227]",437675
"[2452863, 2906364, 401957, 5158566, 2906427, 2213476]",658382
"[4726764, 4678888, 4763350, 4788874, 5007325, 2452863, 552666, 2213476, 2146377, 2347757, 2348472, 5125625, 5209084, 5219825, 5106114, 4621672, 4982227]",436690
"[2452863, 2213476]",129656
"[2452863, 2372249, 2213476, 2516049, 2421463, 2771466, 4785484]",182711
"[2452863, 5960195, 5960190, 4156629, 6200342, 2213476]",152139
"[2809743, 2452863, 3583475, 2213476]",533032
"[2452863, 2213476]",170314
"[2452863, 2213476]",427596
"[2452863, 2213476]",427634
"[2452863, 2213476]",427758
"[2452863, 2213476]",427768
"[2452863, 135346, 2213476, 4982227]",585756
"[553800, 3769928, 3693291, 5960195, 5960190, 5960185, 2213476]",553077
"[2452863, 2213476]",427240
[4982227],5788787
[4982227],5788879
"[2508686, 2452863, 2213476, 669099]",508858
"[4898513, 3769928, 5960195, 5960190, 5960185, 5731178, 4386909, 4385539, 2854230, 3190308, 2816582, 2213476, 4982227]",603005
"[4678888, 4788874, 5007325, 2452863, 552666, 2213476, 4982227]",431510
"[2452863, 2213476]",669099
"[2452863, 2213476]",401957
"[2452863, 2213476]",417434
"[2452863, 2213476]",417453
"[2452863, 2213476, 4982227]",417477
"[412133, 2452863, 2213476]",412861
"[412124, 412133, 2452863, 2213476]",412877
"[412045, 412016, 412152, 412133, 2452863, 2213476]",412887
"[412016, 412002, 412152, 412133, 412045, 2452863, 2213476]",412892
"[412016, 412133, 2452863, 2213476]",412924
"[412133, 2452863, 135346, 4929942, 2213476, 3748366]",412929
"[412045, 412016, 412152, 412133, 2452863, 2213476]",412941
"[412045, 412016, 412133, 2452863, 2213476]",412963
"[412045, 412016, 412133, 2452863, 2213476]",412970
"[412016, 412133, 412045, 2452863, 2213476]",412975
"[412016, 412152, 412133, 2452863, 2213476]",412989
"[412045, 412016, 412152, 412133, 2452863, 2213476]",412994
"[412045, 412016, 412152, 412133, 2452863, 2213476]",412999
"[412133, 2452863, 2213476]",413016
"[412045, 412016, 412152, 412133, 2452863, 2213476]",413022
"[412016, 412152, 412133, 2452863, 2213476]",413030
"[412045, 412016, 412152, 412133, 2452863, 2213476, 3748366]",413033
"[412016, 412124, 412133, 2452863, 2213476]",413049
"[412045, 412016, 412133, 2452863, 2213476]",413055
"[412045, 412016, 412133, 2452863, 2213476]",413062
"[412045, 412016, 412133, 2452863, 2213476]",413066
"[412045, 412016, 412133, 2452863, 2213476]",413238
